epoch,step,train_loss_epoch,train_loss_step
0,49,,42.64482879638672
0,58,54.21110153198242,
1,99,,82.82874298095703
1,117,38.90627670288086,
2,149,,22.798898696899414
2,176,35.060543060302734,
3,199,,29.57294273376465
3,235,32.018856048583984,
4,249,,27.958419799804688
4,294,32.12971878051758,
5,299,,14.314234733581543
5,349,,21.528894424438477
5,353,31.75739097595215,
6,399,,29.48883819580078
6,412,30.938840866088867,
7,449,,35.79896545410156
7,471,30.963563919067383,
8,499,,27.397306442260742
8,530,30.031400680541992,
9,549,,35.29039001464844
9,589,27.528810501098633,
10,599,,24.379629135131836
10,648,29.26775360107422,
11,649,,19.479768753051758
11,699,,17.608356475830078
11,707,28.534954071044922,
12,749,,25.661415100097656
12,766,27.160524368286133,
13,799,,20.458898544311523
13,825,26.25441551208496,
14,849,,13.593497276306152
14,884,28.015233993530273,
15,899,,17.259992599487305
15,943,26.698259353637695,
16,949,,54.26899337768555
16,999,,16.55855369567871
16,1002,27.034677505493164,
17,1049,,20.043169021606445
17,1061,26.618825912475586,
18,1099,,29.773950576782227
18,1120,27.223773956298828,
19,1149,,20.27994728088379
19,1179,26.32455825805664,
